시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,수지구,상현동,A10027047,용인수지동도센트리움 아파트,도시형 생활주택(아파트),경기도 용인수지구 상현동 1203 용인수지동도센트리움 아파트,경기도 용인시 수지구 이현로 125,20170331,1,168,168.0,52.0,116.0
용인시,수지구,죽전동,A44897218,꽃메마을현대홈타운4차3단지,아파트,경기도 용인수지구 죽전동 1304 꽃메마을현대홈타운4차3단지,경기도 용인시 수지구 죽전로 87,20040629,11,770,788.0,691.0,97.0
용인시,수지구,죽전동,A44897402,꽃메마을한라프로방스,아파트,경기도 용인수지구 죽전동 1306 꽃메마을한라프로방스,경기도 용인시 수지구 죽전로 111,20040630,3,195,343.0,67.0,276.0
용인시,수지구,죽전동,A44897403,꽃메마을극동스타클래스,아파트,경기도 용인수지구 죽전동 1311 꽃메마을극동스타클래스,경기도 용인시 수지구 죽전로 116,20040630,3,196,334.0,51.0,283.0
용인시,수지구,죽전동,A44816011,꽃메마을아이파크2차,아파트,경기도 용인수지구 죽전동 1307 꽃메마을아이파크2차,경기도 용인시 수지구 죽전로 121,20040730,5,374,621.0,231.0,390.0
용인시,수지구,죽전동,A44895022,성현마을광명샤인빌,아파트,경기도 용인수지구 죽전동 1355 성현마을광명샤인빌,경기도 용인시 수지구 디지털벨리로 5,20050203,3,192,221.0,31.0,190.0
용인시,기흥구,상갈동,A44695607,금화마을주공6단지,아파트,경기도 용인기흥구 상갈동 480 금화마을주공6단지,경기도 용인시 기흥구 금화로11번길 9,20010907,3,228,237.0,84.0,153.0
용인시,기흥구,상갈동,A44695804,금화마을주공3단지,아파트,경기도 용인기흥구 상갈동 481 금화마을주공3단지,경기도 용인시 기흥구 금화로11번길 10,20011008,10,1070,1079.0,254.0,825.0
용인시,수지구,성복동,A44898203,버들치마을 경남아너스빌1차,아파트,경기도 용인수지구 성복동 753 버들치마을 경남아너스빌1차,경기도 용인시 수지구 성복1로 157,20070614,12,816,1213.0,349.0,864.0
용인시,수지구,성복동,A44898211,성복아이파크,아파트,경기도 용인수지구 성복동 780 성복아이파크,경기도 용인시 수지구 성복1로 222,20120717,7,351,491.0,58.0,433.0
용인시,수지구,성복동,A44898007,수지LG빌리지1차,아파트,경기도 용인수지구 성복동 155 수지LG빌리지1차,경기도 용인시 수지구 성복2로 86,20010219,17,1164,3277.0,635.0,2642.0
용인시,기흥구,동백동,A44674515,백현마을경남아너스빌,아파트,경기도 용인기흥구 동백동 583 백현마을경남아너스빌,경기도 용인시 기흥구 동백8로131번길 9,20061106,7,600,667.0,330.0,337.0
용인시,기흥구,동백동,A44691118,백현마을주공9단지,아파트,경기도 용인기흥구 동백동 584 백현마을주공9단지,경기도 용인시 기흥구 동백8로131번길 20,20060517,12,981,989.0,472.0,517.0
용인시,수지구,성복동,A44898207,버들치마을경남아너스빌2차,아파트,경기도 용인수지구 성복동 754 버들치마을경남아너스빌2차,경기도 용인시 수지구 성복1로163번길 11,20100331,5,214,329.0,32.0,297.0
용인시,수지구,성복동,A44898204,버들치마을힐스테이트2차,아파트,경기도 용인수지구 성복동 759 버들치마을힐스테이트2차,경기도 용인시 수지구 성복1로164번길 13,20100606,10,689,1447.0,141.0,1306.0
용인시,수지구,성복동,A44898205,성복자이1차,아파트,경기도 용인수지구 성복동 758 성복자이1차,경기도 용인시 수지구 성복1로164번길 20,20100603,12,719,1275.0,203.0,1072.0
용인시,수지구,죽전동,A44854215,성현마을우미2차,아파트,경기도 용인수지구 죽전동 1329 성현마을우미2차,경기도 용인시 수지구 죽전로 143,20041220,8,538,538.0,258.0,280.0
용인시,수지구,죽전동,A44816016,죽전현대1차,아파트,경기도 용인수지구 죽전동 89-1 죽전현대1차,경기도 용인시 수지구 죽전로 244,19990414,8,702,705.0,218.0,487.0
용인시,수지구,죽전동,A44853819,죽전건영캐스빌,아파트,경기도 용인수지구 죽전동 1182 죽전건영캐스빌,경기도 용인시 수지구 죽전로 267,20041125,19,1254,2035.0,259.0,1776.0
용인시,수지구,죽전동,A44816007,더리버하임,아파트,경기도 용인수지구 죽전동 454 더리버하임,경기도 용인시 수지구 대지로 19,19990227,3,336,345.0,176.0,169.0
용인시,수지구,죽전동,A44875107,수지한신,아파트,경기도 용인수지구 죽전동 453-1 수지한신,경기도 용인시 수지구 대지로 27,19980424,3,311,329.0,218.0,111.0
용인시,기흥구,중동,A44672417,참솔마을월드메르디앙,아파트,경기도 용인기흥구 중동 819 참솔마을월드메르디앙,경기도 용인시 기흥구 동백죽전대로 283,20060228,11,966,1172.0,90.0,1082.0
용인시,수지구,죽전동,A44816005,내대지마을주공5단지,아파트,경기도 용인수지구 죽전동 1367 내대지마을주공5단지,경기도 용인시 수지구 디지털벨리로 21,20060417,3,225,227.0,105.0,122.0
용인시,기흥구,서천동,A44670101,서그내마을서천아이파크,아파트,경기도 용인기흥구 서천동 708 서그내마을서천아이파크,경기도 용인시 기흥구 서그내로16번길 14,20090930,6,243,441.0,0.0,441.0
용인시,기흥구,서천동,A10026964,영통로 효성해링턴 플레이스 아파트,아파트,경기도 용인기흥구 서천동 828 영통로 효성해링턴 플레이스 아파트,경기도 용인시 기흥구 서그내로16번길 30,20170629,7,640,701.0,80.0,621.0
용인시,수지구,죽전동,A44854309,대지마을2차현대홈타운,아파트,경기도 용인수지구 죽전동 1110 대지마을2차현대홈타운,경기도 용인시 수지구 현암로 54,20010802,4,346,418.0,217.0,201.0
용인시,수지구,상현동,A44851511,광교상록자이,아파트,경기도 용인수지구 상현동 1134 광교상록자이,경기도 용인시 수지구 광교마을로 62,20120727,10,1035,1410.0,4.0,1406.0
용인시,수지구,상현동,A44813010,광교휴먼시아41단지,아파트,경기도 용인수지구 상현동 1135 광교휴먼시아41단지,경기도 용인시 수지구 광교마을로 90,20111116,9,1117,985.0,369.0,616.0
용인시,기흥구,공세동,A44679604,성원상떼레이크뷰,아파트,경기도 용인기흥구 공세동 692 성원상떼레이크뷰,경기도 용인시 기흥구 동탄기흥로 864,20100122,7,345,1035.0,98.0,937.0
용인시,수지구,신봉동,A44853607,동일하이빌2단지,아파트,경기도 용인수지구 신봉동 987 동일하이빌2단지,경기도 용인시 수지구 신봉3로11번길 10-7,20100622,8,232,434.0,0.0,434.0
