,지명,도로명�,위도,경도,활동지�,행정동,NUMPOINTS,chr_count,np_scaled,count * 활동지가중치,scaled_cnt*가중치,읍면동scaled,활동지시설최종수요지수
423,남촌초등학교,경기도 용인시 처인구 남사면 천덕산로 330,37.10172978,127.1377285,학교,남사읍,41.98,0,0.0027284056732379994,0.0020921504158312692,0.0012906791754705286,0.528070613067289,0.5293612922427595
398,언동중학교,경기도 용인시 기흥구 언남로 41,37.29442085,127.1302984,학교,구성동,442.348,0,0.0287495186456761,0.022045225158221306,0.013600032203693126,0.5146254709459965,0.5282255031496896
517,온석대학원대학교,경기도 용인시 처인구 남사읍 아곡로 96번길 79,37.16179059,127.1636546,학교,남사읍,0.0,0,0.0,0.0,0.0,0.528070613067289,0.528070613067289
59,(주)이마트수지점,경기도 용인시 수지구 수지로 203,37.31973926,127.0833277,대규모점포,신봉동,3623.314,3,0.23549000651554713,0.2867380366220043,0.17689302350485206,0.3501824923489769,0.527075515853829
77,동백노상,,37.27382034,127.1508126,주차장,동백2동,1104.8539920505898,7,0.07180776322083089,0.07766421604089047,0.04791222732587013,0.47620104160716165,0.5241132689330318
58,영통프리미엄아울렛,경기도 용인시 기흥구 중부대로 64,37.26666684,127.0763187,대규모점포,영덕1동,1528.406,0,0.09933567416414954,0.12095339669741323,0.07461797638376275,0.44921551979837476,0.5238334961821375
457,언동초등학교,경기도 용인시 기흥구 언남로 55,37.29536064,127.131593,학교,구성동,215.546,0,0.014008978781413956,0.010742130860666194,0.006626982695473334,0.5146254709459965,0.5212524536414699
121,영덕동 공영,,37.2677109,127.0754749,주차장,영덕1동,1578.409413818861,1,0.10258554548250705,0.11095215349521972,0.06844805846953932,0.44921551979837476,0.5176635782679141
297,바운스트램폴린파크,경기도 용인시 기흥구 동백죽전대로175번길 6,37.25764149,127.1604459,관광지,동백2동,1137.7489530647786,1,0.07394570505627766,0.05824739554023183,0.03593369763488138,0.47620104160716165,0.512134739242043
526,CGV 동백,경기도 용인시 기흥구 동백죽전대로 444 쥬네브 썬월드빌딩,37.27799596,127.1515984,영화관,동백2동,1794.5668125172067,5,0.11663426089272465,0.05673969986871482,0.03500357741434222,0.47620104160716165,0.5112046190215038
21,상하동,경기도 용인시 기흥구 어정로 62-23 (상하동),37.2705137,127.1383973,공공기관,상하동,6124.8436802325405,1,0.3980718972092037,0.6708490333296089,0.41385689606788345,0.09335048242926725,0.5072073784971507
488,어정중학교,경기도 용인시 기흥구 동백죽전대로527번길 83,37.28072654,127.1451478,학교,동백3동,13515.523,0,0.8784142360642846,0.673570916260769,0.4155360667387557,0.0895138891852528,0.5050499559240085
317,보구정사,경기도 용인시 기흥구 동백중앙로54번길 50,37.26378052,127.1669708,관광지,동백2동,875.7093220926679,1,0.05691496623404092,0.044832198812224035,0.027657660252167465,0.47620104160716165,0.5038587018593291
181,상현2동,수지구 만현로 48 상현1근린공원,37.31036044,127.0865294,주차장,상현2동,10839.56441082115,1,0.7044956892308991,0.7619525097870258,0.47006000602918974,0.033661668769741596,0.5037216747989314
452,신일초등학교,경기도 용인시 수지구 신봉2로48번길 28,37.32928881,127.0776935,학교,신봉동,4952.346,0,0.3218677685144715,0.24680926020105584,0.15226035854989925,0.3501824923489769,0.5024428508988762
460,신봉중학교,경기도 용인시 수지구 신봉3로 43,37.32765873,127.0643074,학교,신봉동,4841.693,0,0.31467609931578633,0.24129466468026076,0.14885832132256863,0.3501824923489769,0.4990408136715455
528,한국민속촌 자동차극장,경기도 용인시 기흥구 민속촌로 93-1,37.25740885,127.1143218,영화관,보라동,2472.3998203474293,5,0.160688654034029,0.07817107882721,0.048224918630555155,0.4504807234832395,0.49870564211379464
114,수원교회 인근,,37.27004898,127.0815121,주차장,영덕1동,1110.312,0,0.07216249547080109,0.07804787932272299,0.04814891499636784,0.44921551979837476,0.4973644347947426
333,용인바이오고등학교,경기도 용인시 처인구 이동읍 경기동로687번길 28-14,37.14044111,127.2007625,학교,이동읍,1268.572,0,0.08244828589115949,0.06322161594358992,0.03900236929454501,0.45736949868470517,0.49637186797925015
